model,MASE,sMAPE,RMSE,MAE,WQL,coverage80,n_excluded_MASE
chronos_bolt_base_ft,0.9357777984454747,10.827418101064938,223.4577546836758,150.15003340774908,0.08960870684157157,0.7014426642931315,0
chronos_bolt_base,0.9378053374155069,10.67863232420198,224.03054087753802,149.05519211442407,0.09000454137475405,0.7118268802848242,0
chronos_bolt_small,0.9754088713667293,11.10967523803241,237.01726547115769,159.25210318938502,0.09201667902699318,0.7100281857291204,0
seasonal_naive_168,1.1130000189395282,11.710609442674638,276.1231684100068,174.20535899718143,0.1279037740468532,0.09525292983236909,0
lgbm_global,1.207345242690063,14.39611624261697,280.7070795795104,191.16134736316093,0.2828016609572918,0.9736352173268061,0
mstl,1.2984055417311926,17.008395342293067,299.2738501011363,229.5344738719525,0.1398012737824301,0.8842975819611334,0
seasonal_naive_24,1.2993002572577383,14.3280843464399,315.0867616278978,207.0600986500519,0.152703844556578,0.044529743361519054,0
auto_ets,1.3988426047609646,17.400587971759563,310.2118406338827,223.09766667644604,0.2334771953505352,0.8080922711763833,0
patchtst,1.7115582553291568,20.096053442196542,378.9018612472146,300.10453271913246,0.1517268391119775,0.7208834000890076,0
auto_theta,1.7528272712646635,19.930711476974427,464.2399897656473,362.77472816114664,0.2337307051865403,0.9558707906838746,0
